,positive,trust,anticipation,joy,negative,sadness,anger,fear,surprise,disgust,outcome
64,34.0,23.0,8.0,6.0,9.0,3.0,5.0,5.0,5.0,4.0,1
65,29.0,26.0,9.0,5.0,5.0,2.0,3.0,4.0,4.0,2.0,1
66,37.0,20.0,11.0,5.0,6.0,1.0,5.0,6.0,3.0,0.0,0
67,20.0,17.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1
68,31.0,21.0,9.0,8.0,11.0,1.0,10.0,7.0,4.0,2.0,0
69,7.0,6.0,3.0,2.0,5.0,0.0,1.0,1.0,3.0,1.0,0
70,31.0,21.0,9.0,8.0,11.0,1.0,10.0,7.0,4.0,2.0,0
71,7.0,6.0,3.0,2.0,5.0,0.0,1.0,1.0,3.0,1.0,0
72,109.0,69.0,34.0,23.0,35.0,11.0,24.0,26.0,14.0,4.0,0
73,5.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0
74,5.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0
75,6.0,9.0,2.0,1.0,7.0,4.0,4.0,3.0,7.0,4.0,0
76,49.0,35.0,16.0,12.0,25.0,15.0,7.0,11.0,12.0,2.0,0
77,7.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0
78,4.0,6.0,1.0,0.0,12.0,4.0,3.0,4.0,2.0,4.0,0
79,14.0,5.0,3.0,0.0,12.0,8.0,3.0,1.0,2.0,4.0,0
80,24.0,16.0,7.0,5.0,7.0,4.0,1.0,2.0,3.0,4.0,1
81,20.0,19.0,8.0,6.0,7.0,0.0,3.0,3.0,1.0,0.0,0
82,5.0,3.0,3.0,0.0,5.0,1.0,2.0,0.0,1.0,3.0,0
83,37.0,25.0,9.0,2.0,5.0,1.0,1.0,0.0,3.0,2.0,1
84,18.0,15.0,6.0,5.0,3.0,1.0,3.0,3.0,2.0,1.0,1
85,48.0,35.0,8.0,6.0,6.0,1.0,3.0,3.0,9.0,0.0,1
86,32.0,18.0,5.0,4.0,8.0,3.0,4.0,2.0,2.0,0.0,1
87,8.0,10.0,2.0,1.0,6.0,3.0,3.0,3.0,4.0,2.0,0
88,319.0,306.0,54.0,38.0,45.0,4.0,31.0,38.0,14.0,7.0,1
89,36.0,29.0,12.0,10.0,8.0,5.0,3.0,4.0,5.0,0.0,1
90,34.0,31.0,9.0,7.0,4.0,4.0,2.0,2.0,3.0,2.0,1
91,34.0,31.0,9.0,7.0,4.0,4.0,2.0,2.0,3.0,2.0,1
92,48.0,33.0,16.0,9.0,15.0,4.0,10.0,9.0,0.0,2.0,1
93,11.0,11.0,5.0,6.0,6.0,2.0,1.0,5.0,3.0,0.0,0
94,253.0,164.0,88.0,55.0,89.0,46.0,34.0,161.0,14.0,13.0,1
95,326.0,195.0,117.0,50.0,139.0,87.0,74.0,117.0,22.0,36.0,1
96,12.0,10.0,4.0,5.0,2.0,0.0,2.0,1.0,5.0,0.0,0
97,72.0,38.0,14.0,7.0,8.0,3.0,2.0,5.0,8.0,3.0,1
98,26.0,24.0,3.0,2.0,8.0,3.0,1.0,1.0,4.0,0.0,1
99,44.0,39.0,12.0,12.0,7.0,4.0,2.0,2.0,1.0,2.0,0
100,8.0,6.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0
101,16.0,13.0,7.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1
102,23.0,8.0,7.0,0.0,8.0,2.0,3.0,4.0,5.0,3.0,1
103,3.0,5.0,2.0,1.0,8.0,3.0,4.0,3.0,4.0,2.0,0
104,14.0,9.0,4.0,1.0,12.0,3.0,6.0,9.0,5.0,6.0,1
105,4.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0
106,20.0,20.0,7.0,4.0,13.0,2.0,6.0,7.0,4.0,1.0,0
107,4.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0
108,31.0,21.0,7.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,1
109,97.0,76.0,19.0,14.0,21.0,9.0,15.0,13.0,7.0,1.0,0
110,85.0,64.0,16.0,11.0,20.0,6.0,6.0,2.0,11.0,8.0,1
111,102.0,79.0,18.0,15.0,31.0,12.0,26.0,22.0,3.0,3.0,0
112,12.0,9.0,4.0,4.0,7.0,5.0,5.0,5.0,4.0,3.0,0
113,81.0,74.0,18.0,11.0,26.0,8.0,18.0,22.0,2.0,4.0,0
114,81.0,74.0,18.0,11.0,26.0,8.0,18.0,22.0,2.0,4.0,0
115,17.0,9.0,4.0,3.0,7.0,4.0,3.0,3.0,2.0,1.0,1
